asset_tag,serial_number,site,business_service,owner_team,lifecycle_state,vendor,model,category,purchase_date,installed_date,warranty_end
FRA-DC3-FIR-0736,SRL-B58C4625,FRA-DC3,Analytics Platform,Platform Engineering,RMA Pending,Palo Alto Networks,PA-5220,Firewall,2022-05-05,2022-07-22,2026-05-05
SYD-DC1-FIR-0737,SRL-9270937F,SYD-DC1,Security Monitoring,Platform Engineering,Decommission Planned,Fortinet,FortiGate 100E,Firewall,2023-11-02,2023-11-24,2028-11-02
MEL-DR-ROU-0738,SRL-E77F36EA,MEL-DR,Email & Collaboration,Cloud Ops,RMA Pending,Juniper,MX204,Router,2020-05-09,2020-05-03,2024-05-09
TOR-DC1-SWI-0739,SRL-69A2A5FF,TOR-DC1,Email & Collaboration,Platform Engineering,RMA Pending,Juniper,QFX5120-48Y,Switch,2018-09-11,2018-10-14,2022-09-11
FRA-DC3-SWI-0740,SRL-649DDDDD,FRA-DC3,Online Payments,Data Center Ops,In Service,Cisco,Catalyst 9606R,Switch,2015-07-04,2015-09-21,2018-07-04
AMS-HQ-FIR-0741,SRL-BC2DBEA5,AMS-HQ,IoT Gateway,Security Team,RMA Pending,Fortinet,FortiGate 200F,Firewall,2019-04-02,2019-04-15,2024-04-02
NYC-HQ-SWI-0742,SRL-88CAE79D,NYC-HQ,Online Payments,Cloud Ops,RMA Pending,HPE,Aruba 8400,Switch,2016-12-04,2016-12-25,2021-12-04
SFO-DC2-STO-0743,SRL-EA7166CC,SFO-DC2,Email & Collaboration,Data Center Ops,RMA Pending,NetApp,FAS2750,Storage,2017-02-23,2017-03-26,2021-02-23
SGP-EDGE-SWI-0744,SRL-EB904896,SGP-EDGE,Voice Core,Data Center Ops,In Service,Arista,7280R3-48YC6,Switch,2019-07-23,2019-08-16,2023-07-23
SFO-DC2-FIR-0745,SRL-44967D57,SFO-DC2,ERP Core,Infra Ops,In Service,Palo Alto Networks,PA-5220,Firewall,2021-06-02,2021-07-15,2025-06-02
SFO-DC2-SWI-0746,SRL-9DD79A1F,SFO-DC2,Voice Core,Network Team,Decommission Planned,HPE,Aruba 8400,Switch,2021-03-21,2021-05-05,2024-03-21
SFO-DC2-STO-0747,SRL-D3F1044D,SFO-DC2,Manufacturing SCADA,Platform Engineering,Spare,Dell,PowerStore 500,Storage,2016-08-23,2016-09-08,2019-08-23
SYD-DC1-ROU-0748,SRL-AFB74ED4,SYD-DC1,ERP Core,Network Team,Retiring,Juniper,MX204,Router,2022-01-16,2022-01-17,2027-01-16
SYD-DC1-ROU-0749,SRL-87E71918,SYD-DC1,Online Payments,Data Center Ops,Decommission Planned,Juniper,MX204,Router,2017-12-11,2018-02-11,2022-12-11
SYD-DC1-SER-0750,SRL-D236BADA,SYD-DC1,Manufacturing SCADA,Data Center Ops,Decommission Planned,Lenovo,ThinkSystem SR650,Server,2021-07-28,2021-07-18,2026-07-28
LON-DC1-SER-0751,SRL-619F4675,LON-DC1,Online Payments,Platform Engineering,RMA Pending,Lenovo,ThinkSystem SR650,Server,2016-10-18,2016-11-15,2020-10-18
SGP-EDGE-SWI-0752,SRL-D3597475,SGP-EDGE,Email & Collaboration,Network Team,RMA Pending,Cisco,Catalyst 9606R,Switch,2020-09-28,2020-10-23,2023-09-28
AMS-HQ-SER-0753,SRL-ECE21A6E,AMS-HQ,Security Monitoring,Data Center Ops,Spare,HPE,ProLiant DL380 Gen10,Server,2023-01-13,2023-02-17,2027-01-13
DAL-DC2-FIR-0754,SRL-7B3FCAFB,DAL-DC2,ERP Core,Data Center Ops,RMA Pending,Palo Alto Networks,PA-3220,Firewall,2022-02-21,2022-04-27,2027-02-21
LON-DC1-SWI-0755,SRL-EE286027,LON-DC1,Customer Portal,Network Team,Spare,Cisco,Catalyst 9300-48P,Switch,2018-08-13,2018-08-03,2023-08-13
SGP-EDGE-SWI-0756,SRL-D29CFF9E,SGP-EDGE,Voice Core,Cloud Ops,Decommission Planned,Cisco,Catalyst 9300-48P,Switch,2015-06-02,2015-07-25,2020-06-02
SYD-DC1-SER-0757,SRL-8456A62A,SYD-DC1,Email & Collaboration,Network Team,Spare,Supermicro,SYS-220U-TNR,Server,2022-11-28,2023-01-18,2025-11-28
TOR-DC1-SER-0758,SRL-E7C20C7B,TOR-DC1,Analytics Platform,Network Team,In Service,Dell,PowerEdge R650,Server,2022-11-01,2023-01-11,2027-11-01
SYD-DC1-SER-0759,SRL-224F7A01,SYD-DC1,Analytics Platform,Data Center Ops,RMA Pending,Dell,PowerEdge R650,Server,2015-03-21,2015-03-09,2019-03-21
NYC-HQ-STO-0760,SRL-CB430FDF,NYC-HQ,Voice Core,Cloud Ops,Spare,NetApp,FAS2750,Storage,2016-02-04,2016-04-17,2021-02-04
TOR-DC1-SWI-0761,SRL-7A998725,TOR-DC1,Analytics Platform,Network Team,Spare,Arista,7050X3-48C,Switch,2020-12-22,2021-02-23,2024-12-22
NYC-HQ-FIR-0762,SRL-9383C749,NYC-HQ,Retail POS,Cloud Ops,Spare,Fortinet,FortiGate 100E,Firewall,2018-01-19,2018-02-21,2022-01-19
NYC-HQ-SWI-0763,SRL-58DAEBA4,NYC-HQ,ERP Core,Infra Ops,Spare,Arista,7050X3-48C,Switch,2017-12-12,2018-02-04,2020-12-12
AMS-HQ-SER-0764,SRL-576C2D3C,AMS-HQ,Analytics Platform,Cloud Ops,In Service,Dell,PowerEdge R650,Server,2016-11-20,2016-12-20,2019-11-20
SYD-DC1-SWI-0765,SRL-F1676CF3,SYD-DC1,Voice Core,Network Team,In Service,Cisco,Catalyst 9300-48P,Switch,2017-02-23,2017-04-20,2021-02-23
DAL-DC2-SWI-0766,SRL-146EA845,DAL-DC2,Voice Core,Data Center Ops,Spare,HPE,Aruba 8400,Switch,2017-11-09,2018-01-25,2021-11-09
DAL-DC2-SWI-0767,SRL-2F25DF13,DAL-DC2,Analytics Platform,Security Team,Retiring,Cisco,Nexus 93180YC-FX3,Switch,2017-12-16,2018-02-16,2020-12-16
SGP-EDGE-STO-0768,SRL-2EE9B658,SGP-EDGE,IoT Gateway,Platform Engineering,In Service,NetApp,AFF A400,Storage,2018-04-04,2018-06-21,2021-04-04
TOR-DC1-SWI-0769,SRL-4B4EC987,TOR-DC1,IoT Gateway,Cloud Ops,Retiring,Juniper,QFX5120-48Y,Switch,2022-11-22,2022-12-28,2026-11-22
SYD-DC1-SER-0770,SRL-9ED751EF,SYD-DC1,Analytics Platform,Network Team,Spare,Lenovo,ThinkSystem SR650,Server,2022-03-06,2022-03-21,2025-03-06
MEL-DR-ROU-0771,SRL-03938BB4,MEL-DR,Security Monitoring,Security Team,Decommission Planned,Juniper,MX204,Router,2020-10-26,2020-12-06,2023-10-26
NYC-HQ-SER-0772,SRL-FF4513F0,NYC-HQ,Online Payments,Cloud Ops,Spare,HPE,ProLiant DL380 Gen10,Server,2015-08-17,2015-08-13,2018-08-17
LON-DC1-FIR-0773,SRL-B3627ED8,LON-DC1,Voice Core,Cloud Ops,Retiring,Fortinet,FortiGate 100E,Firewall,2021-04-24,2021-05-17,2024-04-24
NYC-HQ-SWI-0774,SRL-65B57F08,NYC-HQ,IoT Gateway,Security Team,In Service,Juniper,QFX5120-48Y,Switch,2021-04-13,2021-05-21,2024-04-13
AMS-HQ-SWI-0775,SRL-3E9A2007,AMS-HQ,Retail POS,Platform Engineering,In Service,Arista,7050X3-48C,Switch,2017-04-20,2017-06-28,2020-04-20
DAL-DC2-SWI-0776,SRL-4D913F83,DAL-DC2,IoT Gateway,Security Team,Decommission Planned,HPE,Aruba 8400,Switch,2020-05-07,2020-06-01,2023-05-07
SYD-DC1-SER-0777,SRL-4BEDEDD3,SYD-DC1,Retail POS,Network Team,Lab,Dell,PowerEdge R650,Server,2016-08-15,2016-10-18,2019-08-15
MEL-DR-SER-0778,SRL-47FE87AA,MEL-DR,Analytics Platform,Infra Ops,Retiring,HPE,ProLiant DL380 Gen10,Server,2017-10-18,2017-11-27,2020-10-18
DAL-DC2-STO-0779,SRL-58B629FC,DAL-DC2,Manufacturing SCADA,Platform Engineering,Spare,NetApp,FAS2750,Storage,2022-08-09,2022-08-20,2027-08-09
DAL-DC2-SWI-0780,SRL-6210D2D9,DAL-DC2,Analytics Platform,Security Team,Lab,Arista,7050X3-48C,Switch,2018-10-05,2018-12-28,2021-10-05
DAL-DC2-SER-0781,SRL-F240E5EF,DAL-DC2,Online Payments,Network Team,Decommission Planned,Supermicro,SYS-220U-TNR,Server,2015-07-17,2015-09-17,2019-07-17
NYC-HQ-SWI-0782,SRL-D9988BBC,NYC-HQ,Voice Core,Platform Engineering,Spare,Cisco,Catalyst 9606R,Switch,2023-01-23,2023-03-25,2026-01-23
SFO-DC2-SWI-0783,SRL-6D83E7FB,SFO-DC2,IoT Gateway,Infra Ops,Spare,Cisco,Catalyst 9606R,Switch,2015-08-22,2015-09-13,2018-08-22
AMS-HQ-SWI-0784,SRL-30272AA0,AMS-HQ,Retail POS,Data Center Ops,Retiring,Cisco,Catalyst 9300-48P,Switch,2022-08-25,2022-08-24,2027-08-25
DAL-DC2-SWI-0785,SRL-2B31C876,DAL-DC2,Customer Portal,Infra Ops,RMA Pending,Arista,7280R3-48YC6,Switch,2015-11-03,2015-12-04,2020-11-03
MEL-DR-SWI-0786,SRL-D20B77EF,MEL-DR,Manufacturing SCADA,Network Team,Lab,Arista,7050X3-48C,Switch,2019-12-20,2020-02-11,2024-12-20
LON-DC1-SWI-0787,SRL-A813659B,LON-DC1,ERP Core,Cloud Ops,Lab,Cisco,Nexus 93180YC-FX3,Switch,2023-11-12,2023-11-28,2026-11-12
DAL-DC2-SWI-0788,SRL-7846E04A,DAL-DC2,IoT Gateway,Platform Engineering,Retiring,Cisco,Nexus 93180YC-FX3,Switch,2020-06-06,2020-08-27,2025-06-06
NYC-HQ-SER-0789,SRL-67DF3B61,NYC-HQ,Manufacturing SCADA,Data Center Ops,Spare,Dell,PowerEdge R650,Server,2020-04-18,2020-04-14,2025-04-18
AMS-HQ-SWI-0790,SRL-3B6977C8,AMS-HQ,Retail POS,Data Center Ops,Spare,Juniper,QFX5120-48Y,Switch,2020-06-09,2020-08-23,2025-06-09
DAL-DC2-FIR-0791,SRL-37B45830,DAL-DC2,Security Monitoring,Network Team,In Service,Palo Alto Networks,PA-3220,Firewall,2020-08-16,2020-10-02,2025-08-16
NYC-HQ-STO-0792,SRL-068914D5,NYC-HQ,Voice Core,Data Center Ops,Retiring,NetApp,AFF A400,Storage,2019-08-20,2019-09-19,2024-08-20
NYC-HQ-SWI-0793,SRL-AD165EFD,NYC-HQ,Analytics Platform,Platform Engineering,In Service,Cisco,Catalyst 9606R,Switch,2021-03-10,2021-03-01,2024-03-10
SFO-DC2-SER-0794,SRL-1D5C57AB,SFO-DC2,Security Monitoring,Network Team,RMA Pending,Dell,PowerEdge R650,Server,2022-03-28,2022-04-06,2027-03-28
SYD-DC1-STO-0795,SRL-A3993FD4,SYD-DC1,Security Monitoring,Platform Engineering,RMA Pending,NetApp,AFF A400,Storage,2017-08-12,2017-10-15,2021-08-12
SYD-DC1-SWI-0796,SRL-E8EFA432,SYD-DC1,Security Monitoring,Security Team,In Service,Cisco,Catalyst 9300-48P,Switch,2018-09-21,2018-10-15,2022-09-21
TOR-DC1-FIR-0797,SRL-652F9E67,TOR-DC1,IoT Gateway,Data Center Ops,RMA Pending,Fortinet,FortiGate 100E,Firewall,2022-10-22,2022-12-11,2027-10-22
AMS-HQ-SER-0798,SRL-C566C023,AMS-HQ,Voice Core,Infra Ops,Retiring,Dell,PowerEdge R650,Server,2019-03-26,2019-04-11,2022-03-26
AMS-HQ-SER-0799,SRL-39F649D2,AMS-HQ,IoT Gateway,Infra Ops,In Service,Dell,PowerEdge R650,Server,2020-05-15,2020-06-16,2025-05-15
SFO-DC2-SER-0800,SRL-B180B0FC,SFO-DC2,Manufacturing SCADA,Infra Ops,Spare,HPE,ProLiant DL380 Gen10,Server,2017-03-08,2017-03-04,2020-03-08
MEL-DR-ROU-0801,SRL-8469C2D2,MEL-DR,Retail POS,Security Team,Decommission Planned,Juniper,MX204,Router,2020-03-07,2020-05-28,2025-03-07
SYD-DC1-FIR-0802,SRL-5DC1870C,SYD-DC1,IoT Gateway,Infra Ops,Spare,Palo Alto Networks,PA-3220,Firewall,2022-09-06,2022-11-24,2026-09-06
NYC-HQ-SER-0803,SRL-560BE457,NYC-HQ,Online Payments,Platform Engineering,Decommission Planned,Dell,PowerEdge R650,Server,2022-06-05,2022-06-15,2027-06-05
FRA-DC3-FIR-0804,SRL-F05F5E2C,FRA-DC3,Manufacturing SCADA,Infra Ops,RMA Pending,Fortinet,FortiGate 200F,Firewall,2022-05-25,2022-07-20,2027-05-25
SFO-DC2-FIR-0805,SRL-A6A813BA,SFO-DC2,Retail POS,Data Center Ops,Decommission Planned,Fortinet,FortiGate 100E,Firewall,2016-12-16,2016-12-03,2019-12-16
FRA-DC3-FIR-0806,SRL-CD38F365,FRA-DC3,ERP Core,Infra Ops,In Service,Palo Alto Networks,PA-5220,Firewall,2018-08-12,2018-08-05,2022-08-12
SYD-DC1-STO-0807,SRL-DE9692BD,SYD-DC1,Retail POS,Data Center Ops,Spare,NetApp,FAS2750,Storage,2023-04-26,2023-05-13,2026-04-26
SYD-DC1-SWI-0808,SRL-05B6FA0C,SYD-DC1,ERP Core,Cloud Ops,Decommission Planned,Cisco,Catalyst 9606R,Switch,2023-07-07,2023-09-19,2027-07-07
TOR-DC1-FIR-0809,SRL-CA6529D7,TOR-DC1,Retail POS,Cloud Ops,In Service,Palo Alto Networks,PA-3220,Firewall,2021-03-23,2021-05-27,2025-03-23
DAL-DC2-FIR-0810,SRL-EBC6E966,DAL-DC2,IoT Gateway,Network Team,Lab,Palo Alto Networks,PA-3220,Firewall,2020-05-15,2020-07-08,2023-05-15
LON-DC1-SWI-0811,SRL-AB8609BE,LON-DC1,Voice Core,Data Center Ops,Decommission Planned,Arista,7280R3-48YC6,Switch,2019-03-26,2019-05-02,2024-03-26
DAL-DC2-SWI-0812,SRL-709E0F12,DAL-DC2,Customer Portal,Cloud Ops,Retiring,Cisco,Catalyst 9606R,Switch,2017-04-10,2017-06-20,2022-04-10
MEL-DR-SWI-0813,SRL-75A752A6,MEL-DR,ERP Core,Cloud Ops,Decommission Planned,Cisco,Catalyst 9606R,Switch,2015-07-21,2015-08-07,2019-07-21
SFO-DC2-STO-0814,SRL-6654BD91,SFO-DC2,Manufacturing SCADA,Platform Engineering,RMA Pending,NetApp,FAS2750,Storage,2017-04-06,2017-05-06,2021-04-06
FRA-DC3-STO-0815,SRL-ECB0056C,FRA-DC3,Voice Core,Network Team,Lab,NetApp,FAS2750,Storage,2019-08-18,2019-10-27,2022-08-18
SYD-DC1-FIR-0816,SRL-DFEE4DFF,SYD-DC1,Online Payments,Security Team,Lab,Fortinet,FortiGate 200F,Firewall,2022-02-21,2022-03-09,2026-02-21
SFO-DC2-SWI-0817,SRL-DE65C87B,SFO-DC2,Voice Core,Data Center Ops,RMA Pending,Juniper,QFX5120-48Y,Switch,2015-02-25,2015-03-12,2019-02-25
NYC-HQ-STO-0818,SRL-7C727C53,NYC-HQ,Retail POS,Data Center Ops,Lab,NetApp,FAS2750,Storage,2022-10-14,2022-11-27,2027-10-14
AMS-HQ-STO-0819,SRL-9C8D776A,AMS-HQ,ERP Core,Infra Ops,Retiring,NetApp,FAS2750,Storage,2015-05-06,2015-07-02,2018-05-06
SFO-DC2-SER-0820,SRL-36AACD15,SFO-DC2,IoT Gateway,Platform Engineering,RMA Pending,Dell,PowerEdge R650,Server,2020-03-02,2020-04-16,2024-03-02
DAL-DC2-FIR-0821,SRL-D9E0E21B,DAL-DC2,IoT Gateway,Network Team,Lab,Fortinet,FortiGate 200F,Firewall,2023-11-03,2024-01-18,2026-11-03
SFO-DC2-STO-0822,SRL-AC892CCC,SFO-DC2,ERP Core,Cloud Ops,Spare,NetApp,AFF A400,Storage,2020-06-27,2020-07-17,2024-06-27
MEL-DR-FIR-0823,SRL-16725EDD,MEL-DR,ERP Core,Cloud Ops,Retiring,Palo Alto Networks,PA-3220,Firewall,2017-01-05,2017-03-21,2021-01-05
MEL-DR-SER-0824,SRL-BBBB55B8,MEL-DR,Voice Core,Platform Engineering,Lab,HPE,ProLiant DL380 Gen10,Server,2016-04-05,2016-06-19,2019-04-05
LON-DC1-SER-0825,SRL-1A94884F,LON-DC1,Manufacturing SCADA,Cloud Ops,RMA Pending,Supermicro,SYS-220U-TNR,Server,2023-12-18,2023-12-14,2027-12-18
AMS-HQ-SWI-0826,SRL-45ADA23D,AMS-HQ,ERP Core,Network Team,Spare,Cisco,Catalyst 9300-48P,Switch,2022-06-10,2022-07-08,2025-06-10
AMS-HQ-SER-0827,SRL-392FD5BA,AMS-HQ,Retail POS,Cloud Ops,Lab,HPE,ProLiant DL380 Gen10,Server,2019-01-24,2019-01-21,2022-01-24
SFO-DC2-FIR-0828,SRL-9A25739F,SFO-DC2,Customer Portal,Data Center Ops,Spare,Fortinet,FortiGate 200F,Firewall,2017-04-05,2017-04-25,2021-04-05
NYC-HQ-SWI-0829,SRL-BE85600C,NYC-HQ,ERP Core,Network Team,Decommission Planned,Arista,7050X3-48C,Switch,2015-04-04,2015-04-18,2020-04-04
FRA-DC3-SER-0830,SRL-89AD13DE,FRA-DC3,Retail POS,Network Team,Decommission Planned,Dell,PowerEdge R740,Server,2019-01-03,2019-02-21,2024-01-03
SYD-DC1-SWI-0831,SRL-6D1A6C22,SYD-DC1,ERP Core,Network Team,Retiring,HPE,Aruba 8400,Switch,2018-03-22,2018-04-18,2021-03-22
NYC-HQ-STO-0832,SRL-89AA81C5,NYC-HQ,Customer Portal,Data Center Ops,Lab,NetApp,FAS2750,Storage,2020-06-06,2020-08-20,2025-06-06
TOR-DC1-SWI-0833,SRL-B20367AB,TOR-DC1,Analytics Platform,Cloud Ops,Retiring,Cisco,Catalyst 9606R,Switch,2016-10-25,2016-10-08,2021-10-25
LON-DC1-STO-0834,SRL-1A49CE86,LON-DC1,Analytics Platform,Infra Ops,Spare,NetApp,AFF A400,Storage,2015-12-04,2016-01-11,2020-12-04
AMS-HQ-SER-0835,SRL-137A4433,AMS-HQ,IoT Gateway,Data Center Ops,Retiring,HPE,ProLiant DL380 Gen10,Server,2022-11-04,2022-12-07,2026-11-04
DAL-DC2-SWI-0836,SRL-C50A62EF,DAL-DC2,Email & Collaboration,Security Team,Retiring,Juniper,QFX5120-48Y,Switch,2021-02-25,2021-03-17,2024-02-25
AMS-HQ-SER-0837,SRL-439789B7,AMS-HQ,ERP Core,Cloud Ops,Spare,Lenovo,ThinkSystem SR650,Server,2020-12-10,2021-02-03,2025-12-10
SYD-DC1-SER-0838,SRL-E80B3371,SYD-DC1,ERP Core,Infra Ops,Decommission Planned,Dell,PowerEdge R740,Server,2021-05-15,2021-07-13,2026-05-15
SGP-EDGE-SWI-0839,SRL-201F9050,SGP-EDGE,Voice Core,Security Team,Retiring,Arista,7050X3-48C,Switch,2019-07-07,2019-07-25,2023-07-07
MEL-DR-SER-0840,SRL-53B991CC,MEL-DR,Customer Portal,Network Team,RMA Pending,Lenovo,ThinkSystem SR650,Server,2016-07-15,2016-09-03,2021-07-15
NYC-HQ-FIR-0841,SRL-6F260B7F,NYC-HQ,ERP Core,Security Team,Decommission Planned,Palo Alto Networks,PA-5220,Firewall,2016-12-06,2016-12-24,2020-12-06
LON-DC1-FIR-0842,SRL-13BB3E77,LON-DC1,IoT Gateway,Security Team,Retiring,Palo Alto Networks,PA-5220,Firewall,2016-04-27,2016-06-03,2021-04-27
AMS-HQ-STO-0843,SRL-D8A42905,AMS-HQ,Security Monitoring,Data Center Ops,Retiring,NetApp,FAS2750,Storage,2019-11-13,2019-12-10,2023-11-13
TOR-DC1-ROU-0844,SRL-BD59EBD8,TOR-DC1,Email & Collaboration,Platform Engineering,Retiring,Juniper,MX204,Router,2017-08-04,2017-08-01,2021-08-04
AMS-HQ-SER-0845,SRL-9CC0DCCF,AMS-HQ,Voice Core,Security Team,RMA Pending,Dell,PowerEdge R650,Server,2015-02-24,2015-02-12,2018-02-24
AMS-HQ-STO-0846,SRL-766ADEEA,AMS-HQ,Online Payments,Security Team,Decommission Planned,Dell,PowerStore 500,Storage,2020-03-10,2020-05-11,2025-03-10
NYC-HQ-SER-0847,SRL-59BAF5A3,NYC-HQ,ERP Core,Data Center Ops,Retiring,Lenovo,ThinkSystem SR650,Server,2022-04-10,2022-06-23,2026-04-10
FRA-DC3-STO-0848,SRL-8759EC96,FRA-DC3,Security Monitoring,Cloud Ops,Lab,NetApp,AFF A400,Storage,2023-01-25,2023-01-11,2027-01-25
NYC-HQ-FIR-0849,SRL-74FC4609,NYC-HQ,Email & Collaboration,Platform Engineering,Lab,Palo Alto Networks,PA-5220,Firewall,2022-08-02,2022-08-16,2025-08-02
FRA-DC3-SER-0850,SRL-A6890FD6,FRA-DC3,Security Monitoring,Data Center Ops,Spare,Lenovo,ThinkSystem SR650,Server,2021-03-10,2021-04-11,2025-03-10
NYC-HQ-STO-0851,SRL-1631DC41,NYC-HQ,Retail POS,Data Center Ops,Decommission Planned,NetApp,AFF A400,Storage,2023-10-16,2023-12-26,2028-10-16
SFO-DC2-ROU-0852,SRL-014526CE,SFO-DC2,Manufacturing SCADA,Network Team,Decommission Planned,Juniper,MX204,Router,2022-10-13,2022-12-13,2027-10-13
MEL-DR-SWI-0853,SRL-E6865B2E,MEL-DR,Security Monitoring,Infra Ops,In Service,Cisco,Catalyst 9300-48P,Switch,2015-03-27,2015-04-25,2019-03-27
TOR-DC1-FIR-0854,SRL-3F9ACE77,TOR-DC1,Online Payments,Data Center Ops,Lab,Palo Alto Networks,PA-5220,Firewall,2016-07-12,2016-08-09,2020-07-12
MEL-DR-SWI-0855,SRL-654470CB,MEL-DR,Online Payments,Data Center Ops,Spare,Juniper,QFX5120-48Y,Switch,2018-11-10,2019-01-07,2021-11-10
NYC-HQ-SER-0856,SRL-5BB9609D,NYC-HQ,Security Monitoring,Network Team,Lab,HPE,ProLiant DL380 Gen10,Server,2015-09-11,2015-09-25,2019-09-11
DAL-DC2-ROU-0857,SRL-200B6629,DAL-DC2,Retail POS,Cloud Ops,Decommission Planned,Juniper,MX204,Router,2015-12-16,2016-02-13,2018-12-16
MEL-DR-FIR-0858,SRL-A4D7BE2F,MEL-DR,Email & Collaboration,Cloud Ops,Decommission Planned,Fortinet,FortiGate 100E,Firewall,2016-08-04,2016-09-10,2020-08-04
AMS-HQ-SER-0859,SRL-62EBB9AE,AMS-HQ,Manufacturing SCADA,Data Center Ops,Lab,HPE,ProLiant DL380 Gen10,Server,2019-06-14,2019-07-19,2023-06-14
NYC-HQ-ROU-0860,SRL-5EC60D43,NYC-HQ,Manufacturing SCADA,Security Team,Lab,Juniper,MX204,Router,2015-05-19,2015-07-20,2018-05-19
TOR-DC1-SER-0861,SRL-F6E88D13,TOR-DC1,ERP Core,Data Center Ops,Retiring,Dell,PowerEdge R740,Server,2020-05-03,2020-07-25,2025-05-03
AMS-HQ-SWI-0862,SRL-96FD89B6,AMS-HQ,Email & Collaboration,Security Team,Lab,Cisco,Catalyst 9606R,Switch,2019-09-26,2019-10-16,2023-09-26
FRA-DC3-FIR-0863,SRL-D08BAAB7,FRA-DC3,IoT Gateway,Security Team,Decommission Planned,Palo Alto Networks,PA-5220,Firewall,2019-10-17,2019-12-25,2024-10-17
FRA-DC3-SER-0864,SRL-BAE63FBB,FRA-DC3,Customer Portal,Network Team,RMA Pending,Supermicro,SYS-220U-TNR,Server,2017-10-16,2017-11-23,2022-10-16
AMS-HQ-STO-0865,SRL-8D27467C,AMS-HQ,Security Monitoring,Data Center Ops,Retiring,Dell,PowerStore 500,Storage,2021-10-24,2022-01-24,2024-10-24
FRA-DC3-SER-0866,SRL-B047F9E3,FRA-DC3,Analytics Platform,Infra Ops,Decommission Planned,Dell,PowerEdge R650,Server,2018-03-24,2018-04-14,2022-03-24
DAL-DC2-SWI-0867,SRL-6A7B664A,DAL-DC2,IoT Gateway,Network Team,RMA Pending,HPE,Aruba 8400,Switch,2021-05-27,2021-06-15,2026-05-27
SFO-DC2-SWI-0868,SRL-CBCB148A,SFO-DC2,Security Monitoring,Data Center Ops,Retiring,Juniper,QFX5120-48Y,Switch,2021-04-04,2021-04-05,2024-04-04
SYD-DC1-SER-0869,SRL-68386BA7,SYD-DC1,Analytics Platform,Infra Ops,Decommission Planned,Lenovo,ThinkSystem SR650,Server,2023-07-14,2023-07-28,2026-07-14
SFO-DC2-ROU-0870,SRL-D17A7A3E,SFO-DC2,Security Monitoring,Security Team,In Service,Juniper,MX204,Router,2019-11-18,2019-12-20,2024-11-18
SYD-DC1-SWI-0871,SRL-42B166BE,SYD-DC1,Voice Core,Network Team,In Service,Cisco,Catalyst 9606R,Switch,2020-10-10,2020-10-28,2024-10-10
MEL-DR-SER-0872,SRL-920B78FF,MEL-DR,ERP Core,Platform Engineering,RMA Pending,Dell,PowerEdge R650,Server,2018-02-19,2018-04-05,2021-02-19
FRA-DC3-SER-0873,SRL-6316E0C9,FRA-DC3,Retail POS,Cloud Ops,Lab,Lenovo,ThinkSystem SR650,Server,2016-04-20,2016-04-17,2020-04-20
MEL-DR-SWI-0874,SRL-4A172631,MEL-DR,Retail POS,Data Center Ops,Decommission Planned,Juniper,QFX5120-48Y,Switch,2021-04-05,2021-04-28,2024-04-05
LON-DC1-ROU-0875,SRL-40B2D3E4,LON-DC1,Security Monitoring,Platform Engineering,Decommission Planned,Juniper,MX204,Router,2015-08-18,2015-09-17,2020-08-18
NYC-HQ-SER-0876,SRL-94C7BE7F,NYC-HQ,IoT Gateway,Cloud Ops,Decommission Planned,Lenovo,ThinkSystem SR650,Server,2018-05-26,2018-05-26,2022-05-26
AMS-HQ-STO-0877,SRL-5EC3C2FE,AMS-HQ,IoT Gateway,Infra Ops,In Service,Dell,PowerStore 500,Storage,2015-12-22,2015-12-10,2020-12-22
LON-DC1-FIR-0878,SRL-3BE00AE3,LON-DC1,Security Monitoring,Cloud Ops,Decommission Planned,Fortinet,FortiGate 200F,Firewall,2020-11-04,2021-01-22,2023-11-04
AMS-HQ-ROU-0879,SRL-A5F722A1,AMS-HQ,Email & Collaboration,Network Team,Decommission Planned,Juniper,MX204,Router,2019-02-27,2019-03-09,2023-02-27
LON-DC1-FIR-0880,SRL-89F3D86E,LON-DC1,Customer Portal,Platform Engineering,RMA Pending,Fortinet,FortiGate 100E,Firewall,2021-01-09,2021-01-01,2025-01-09
AMS-HQ-SWI-0881,SRL-8FF259CF,AMS-HQ,Email & Collaboration,Infra Ops,RMA Pending,Arista,7050X3-48C,Switch,2016-03-23,2016-04-08,2021-03-23
NYC-HQ-STO-0882,SRL-B90161EE,NYC-HQ,IoT Gateway,Platform Engineering,Retiring,NetApp,AFF A400,Storage,2020-08-23,2020-08-08,2023-08-23
SFO-DC2-SWI-0883,SRL-C96A3170,SFO-DC2,Voice Core,Data Center Ops,Spare,Cisco,Catalyst 9300-48P,Switch,2021-04-21,2021-05-12,2025-04-21
TOR-DC1-SWI-0884,SRL-962627B4,TOR-DC1,ERP Core,Network Team,Spare,Juniper,QFX5120-48Y,Switch,2023-12-25,2023-12-23,2028-12-25
DAL-DC2-SER-0885,SRL-5A9C646E,DAL-DC2,IoT Gateway,Platform Engineering,Decommission Planned,Dell,PowerEdge R650,Server,2019-03-22,2019-05-19,2023-03-22
SGP-EDGE-FIR-0886,SRL-CFEDAB63,SGP-EDGE,Analytics Platform,Network Team,Decommission Planned,Palo Alto Networks,PA-3220,Firewall,2017-07-13,2017-09-08,2020-07-13
